Date,Type,Tag,Sending Wallet,Sent Amount,Sent Currency,Sent Cost Basis,Receiving Wallet,Received Amount,Received Currency,Received Cost Basis,Fee Amount,Fee Currency,Gain (USD),Net Value (USD),Fee Value (USD),TxSrc,TxDest,TxHash,Description
2024-01-01 05:10:59 UTC,crypto_deposit,,,,,,Solana (SOL) 10,0.36925,NOS,0.2612500817,,,,0.2612500817,,,,269CiLPaFK55QqiVbsJupN6BSPUHQ3x7kN6iHPhSMV2NDwHM2EhnwQ6hE6FEvbix6AVN2PLUMQyyhrKr2y514dRB,
2024-01-01 05:10:59 UTC,crypto_deposit,,,,,,Solana (SOL) 10,0.00172108,SOL,0.1759361647,,,,0.1759361647,,,,269CiLPaFK55QqiVbsJupN6BSPUHQ3x7kN6iHPhSMV2NDwHM2EhnwQ6hE6FEvbix6AVN2PLUMQyyhrKr2y514dRB,
2024-01-01 05:11:07 UTC,crypto_withdrawal,,Solana (SOL) 10,0.00173608,SOL,0.1807552894,,,,,,,-0.0032857605,0.1774695289,,,,FaDbep4DQ7pJgHdvAoxZ7wvkfjHxLn99aZ8oT1EyaNE6L33ekXrf4KjA9Mv3on2yTeHs63t2svSJMqHn5maobzM,
2024-01-01 05:36:01 UTC,crypto_deposit,,,,,,Solana (SOL) 10,0.3735,NOS,0.2642570224,,,,0.2642570224,,,,4jfNX5Ja3CnxMLHZCevfLw4k1A2SQxrMh6r2K3mZKz5QfQvmXnqso4eVUH2udd6YWph18Sz38svUQCuWttQ95Y9R,
2024-01-01 05:36:01 UTC,crypto_deposit,,,,,,Solana (SOL) 10,0.00172108,SOL,0.1759361647,,,,0.1759361647,,,,4jfNX5Ja3CnxMLHZCevfLw4k1A2SQxrMh6r2K3mZKz5QfQvmXnqso4eVUH2udd6YWph18Sz38svUQCuWttQ95Y9R,
2024-01-01 05:36:07 UTC,crypto_withdrawal,,Solana (SOL) 10,0.00173608,SOL,0.1807552894,,,,,,,-0.0032857605,0.1774695289,,,,5H653eF19Ze47mTnA5TYzMS3HssMMwAKb39gnUXzVJ9ojyF7Fec6z3FxXDahw5aNwJYjFsxChuPqKbustLsdzAK3,
2024-01-01 05:55:45 UTC,crypto_deposit,,,,,,Solana (SOL) 10,0.2945,NOS,0.2083633014,,,,0.2083633014,,,,4JpDv3VHbUk8thx6RaTe7P4KErqeeumkYqb9zKsEbTjyaqrkELKc3NRDbEkMJWttMAAkeK1SRn1DtTigPVFFJvKt,
2024-01-01 05:55:45 UTC,crypto_deposit,,,,,,Solana (SOL) 10,0.00172108,SOL,0.1759361647,,,,0.1759361647,,,,4JpDv3VHbUk8thx6RaTe7P4KErqeeumkYqb9zKsEbTjyaqrkELKc3NRDbEkMJWttMAAkeK1SRn1DtTigPVFFJvKt,
2024-01-01 05:55:53 UTC,crypto_withdrawal,,Solana (SOL) 10,0.00173608,SOL,0.1807552894,,,,,,,-0.0032857605,0.1774695289,,,,4YZvMWmXtu4aQM4FHnu3rjagk7w7D9nPPDgPiw2o6GHFDUM83uSnTRfkCfnY32PkomzqdiUpfF1Yt8TyhwT2Crxi,
2024-01-01 06:14:43 UTC,crypto_deposit,,,,,,Solana (SOL) 10,0.2825,NOS,0.2028063855,,,,0.2028063855,,,,5yauWHyxTZwkaTrMyRB6FjLWe3669rAKrtn5JYdZJUfXbLJrxyLeJFej6sWtY16VaRy3cSPW279XpPgELE6ExVbV,
2024-01-01 06:14:43 UTC,crypto_deposit,,,,,,Solana (SOL) 10,0.00172108,SOL,0.1760244143,,,,0.1760244143,,,,5yauWHyxTZwkaTrMyRB6FjLWe3669rAKrtn5JYdZJUfXbLJrxyLeJFej6sWtY16VaRy3cSPW279XpPgELE6ExVbV,
2024-01-01 06:14:51 UTC,crypto_withdrawal,,Solana (SOL) 10,0.00173608,SOL,0.1807552894,,,,,,,-0.0031967418,0.1775585476,,,,CognR2xkgtKPaP9PmSNMLvdFkZHjGrnhAp5CgTPW9aVWHEYMaAyYAfa5uZnqoiCaHArHdRigibFXGtQij9uUoEe,
2024-01-01 06:35:14 UTC,crypto_deposit,,,,,,Solana (SOL) 10,0.30575,NOS,0.2194975305,,,,0.2194975305,,,,GPYeZE8sXMBFVatHfWVf7Ez157XEtVCG4r5KwhGKp7W8DCFAfBnWAPKXT6ohedN1jkV6xt829ZhgXb8hvA5fv7o,
